Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
26805,0.32,Ideal,D,SI1,62.1,54.0,4.4,4.45,2.75,715
19881,0.41,Very Good,H,VS1,63.5,56.0,4.7,4.69,2.98,1061
7085,1.57,Ideal,J,SI1,62.0,55.6,7.43,7.47,4.62,8035
2782,1.52,Very Good,D,VS2,61.9,56.0,7.31,7.35,4.54,14698
15927,0.43,Premium,G,VS2,60.8,59.0,4.86,4.91,2.97,867
9516,2.01,Very Good,H,SI1,,60.0,8.25,8.2,4.94,17476
1034,0.27,Premium,G,VS2,62.4,59.0,4.13,4.11,2.57,509
5773,0.4,Very Good,F,VS1,60.4,58.0,4.75,4.79,2.88,868
18232,0.33,Very Good,H,VVS1,62.5,55.0,4.43,4.47,2.78,692
14536,0.7,Premium,F,SI2,61.6,60.0,5.78,5.68,3.53,1597
10485,1.5,Very Good,E,VS1,59.0,62.0,7.45,7.47,4.4,15957
11766,1.0,Premium,F,SI1,61.6,61.0,6.37,6.3,3.9,5292
23,1.52,Ideal,D,SI2,62.7,56.0,7.35,7.28,4.59,8631
17847,0.56,Ideal,F,SI1,61.4,57.0,5.3,5.28,3.25,1441
13404,1.01,Premium,F,VVS2,59.9,58.0,6.54,6.49,3.9,8905
16246,1.27,Good,J,VS1,63.4,60.0,6.8,6.85,4.33,5588
3899,0.43,Ideal,I,VS1,62.2,53.0,4.86,4.91,3.04,789
17268,0.4,Very Good,D,VS1,63.3,57.0,4.66,4.72,2.97,967
17238,1.33,Ideal,G,VS1,59.9,57.3,7.16,7.21,4.3,10732
10547,0.32,Ideal,D,VVS2,60.6,56.0,4.47,4.5,2.72,1066
2825,0.89,Ideal,D,SI2,,56.0,6.22,6.25,3.79,4192
20460,0.8,Ideal,I,SI1,62.6,56.1,5.87,5.92,3.7,2677
12066,1.52,Very Good,F,VVS2,63.7,57.0,7.28,7.31,4.65,16786
20457,0.54,Very Good,F,VS1,59.9,57.0,5.35,5.3,3.19,1778
11763,1.01,Very Good,H,SI2,63.4,57.0,6.39,6.32,4.03,3592
5358,1.13,Premium,I,SI1,61.5,60.0,6.72,6.68,4.12,4854
3851,1.5,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987
22126,1.03,Very Good,G,SI2,63.5,56.0,6.37,6.33,4.03,4413
1871,1.01,Good,E,VS2,63.4,60.0,6.31,6.37,4.02,6666
14575,0.36,Ideal,D,SI1,61.2,57.0,4.59,4.63,2.82,663
5311,0.55,Ideal,G,VS2,62.4,56.0,5.25,5.23,3.27,1556
8496,0.5,Good,E,SI1,58.5,59.0,5.2,5.23,3.05,1331
10685,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9900
24245,1.51,Premium,F,VS2,62.0,62.0,7.35,7.23,4.52,13771
6318,0.7,Very Good,H,SI1,61.5,57.0,5.64,5.68,3.48,2107
17443,0.24,Ideal,G,VVS1,62.1,56.0,3.97,4.0,2.47,559
4666,0.72,Very Good,J,SI1,58.3,62.0,5.87,5.93,3.44,1886
19585,0.76,Ideal,G,VS2,61.7,55.0,5.86,5.91,3.63,3114
13227,1.39,Premium,H,VS2,62.5,59.0,7.17,7.1,4.46,7006
17215,0.24,Very Good,F,VS2,59.6,58.0,4.08,4.11,2.44,419
23652,1.02,Very Good,F,SI1,62.2,56.0,6.39,6.43,3.99,5222
20397,1.36,Ideal,F,VVS2,61.6,56.0,7.17,7.08,4.39,12608
14572,0.7,Premium,F,SI1,62.9,59.0,5.67,5.62,3.55,2423
1424,1.24,Ideal,G,VVS1,62.1,56.0,6.86,6.91,4.28,11503
24202,0.71,Ideal,D,SI1,61.3,57.0,5.74,5.78,3.53,2690
22469,0.59,Premium,D,VS1,61.9,58.0,5.37,5.32,3.31,2326
9429,0.9,Very Good,D,SI1,61.6,54.0,6.18,6.25,3.83,3880
24776,0.76,Ideal,H,SI1,61.3,55.0,5.87,5.93,3.62,3050
2620,1.2,Premium,G,SI1,61.5,61.0,6.84,6.78,4.19,5947
21069,2.38,Premium,J,VS2,62.6,59.0,8.52,8.49,5.32,16273
24033,0.4,Ideal,F,IF,62.3,57.0,4.69,4.71,2.93,1292
12997,0.7,Ideal,F,SI1,,54.0,5.72,5.75,3.54,2662
12811,2.42,Premium,J,SI2,58.5,59.0,8.85,8.82,5.17,16198
17882,1.01,Good,G,VS1,58.7,62.0,6.49,6.55,3.83,6247
18380,1.19,Ideal,H,VS2,62.0,54.0,6.79,6.83,4.22,7633
17119,0.25,Good,E,VVS1,61.4,62.0,4.03,4.05,2.48,498
5812,0.3,Ideal,H,VS2,62.1,57.0,4.27,4.3,2.66,491
10545,1.02,Good,H,SI2,63.1,59.0,6.37,6.43,4.04,4207
18286,0.33,Ideal,I,IF,61.6,55.0,4.46,4.47,2.75,694
4458,0.7,Premium,E,VVS1,61.7,59.0,5.71,5.67,3.51,3294
3561,1.51,Premium,E,VS2,62.2,59.0,7.4,7.36,4.59,14844
2440,1.03,Ideal,E,SI1,61.3,57.0,6.48,6.51,3.98,5476
20791,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,403
9322,1.32,Premium,I,SI1,62.2,58.0,6.99,7.04,4.36,6171
12516,1.02,Premium,F,VVS2,60.9,59.0,6.56,6.44,3.96,8774
10443,1.24,Ideal,I,SI2,62.5,57.0,6.89,6.84,4.29,3312
8534,0.3,Premium,E,VS2,59.2,59.0,4.37,4.41,2.6,658
8800,1.21,Ideal,H,VS2,62.8,55.0,6.79,6.74,4.25,5882
12159,0.3,Ideal,G,VS2,62.2,54.0,4.29,4.33,2.68,495
20677,1.21,Ideal,F,VS2,62.4,59.0,6.82,6.77,4.24,8691
15387,0.92,Ideal,F,VS2,61.2,56.0,6.25,6.3,3.84,5805
20641,0.31,Ideal,D,SI1,62.3,55.0,4.33,4.37,2.71,571
20490,0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,725
21229,1.5,Ideal,F,VS2,62.4,55.0,7.31,7.25,4.54,14199
18681,1.32,Ideal,I,VVS1,61.0,56.0,7.09,7.07,4.32,8501
25231,0.65,Premium,E,SI1,58.5,58.0,5.68,5.64,3.31,1708
5981,1.65,Ideal,H,VVS2,62.1,56.0,7.68,7.65,4.76,12225
22714,1.77,Premium,J,SI1,61.3,59.0,7.83,7.71,4.76,9704
17020,0.93,Premium,F,SI1,62.3,58.0,6.18,6.22,3.86,4373
17342,0.5,Ideal,E,SI1,62.2,57.0,5.06,5.1,3.16,1410
6965,1.11,Ideal,D,SI2,61.6,55.0,6.66,6.62,4.09,5648
8151,0.83,Ideal,I,VS2,62.9,56.0,5.98,5.94,3.75,2201
11099,1.01,Good,E,VS1,64.6,58.0,6.22,6.29,4.04,6509
2347,1.0,Ideal,H,SI2,62.6,56.0,6.38,6.34,3.98,4256
21211,0.31,Premium,H,SI1,61.1,55.0,4.39,4.35,2.67,573
22881,1.27,Very Good,J,VS2,61.8,60.0,6.9,6.94,4.28,5455
790,0.74,Premium,H,VS2,62.1,56.0,5.83,5.79,3.61,2532
24740,1.21,Very Good,J,VS1,59.3,57.0,6.98,7.04,4.16,5604
16224,1.01,Very Good,G,SI1,60.0,58.0,6.51,6.55,3.92,4719
1032,0.52,Ideal,H,VVS1,60.4,57.0,5.2,5.23,3.15,1778
5742,0.5,Very Good,D,SI2,58.9,60.0,5.2,5.23,3.07,1123
13478,0.7,Ideal,I,VVS2,62.7,54.0,5.65,5.69,3.55,2487
11437,0.42,Ideal,G,SI1,62.2,53.0,4.85,4.86,3.02,777
20729,0.4,Ideal,E,VVS2,62.4,59.0,4.7,4.73,2.94,1166
25075,0.31,Ideal,E,VS2,62.5,54.0,4.33,4.37,2.72,720
16644,1.21,Ideal,H,VS2,62.9,55.0,6.77,6.8,4.27,7513
25506,0.34,Premium,E,SI2,61.7,58.0,4.5,4.54,2.79,477
8653,0.33,Very Good,E,SI1,63.0,54.0,4.38,4.42,2.77,579
24583,1.02,Premium,D,SI2,62.8,55.0,6.46,6.38,4.03,5055
18962,0.53,Ideal,F,VS1,61.2,56.0,5.22,5.24,3.2,1830
3601,0.36,Premium,E,VVS1,62.4,56.0,4.57,4.53,2.84,1035
20744,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2384
10842,0.41,Good,E,SI1,63.5,57.0,4.69,4.73,2.99,755
3564,0.3,Premium,F,VVS2,61.0,59.0,4.33,4.3,2.63,945
22178,0.41,Premium,E,SI1,60.5,61.0,4.8,4.78,2.9,969
7962,0.26,Very Good,E,VVS1,61.8,59.0,4.11,4.14,2.55,539
19791,0.35,Ideal,F,SI1,61.5,54.0,4.57,4.6,2.82,607
1247,1.2,Premium,G,VS1,61.4,60.0,6.86,6.81,4.2,8596
8312,0.53,Good,F,VS1,61.8,62.8,5.13,5.16,3.18,1624
6336,0.55,Premium,G,VS2,62.3,56.0,5.29,5.24,3.28,1668
23826,1.5,Fair,E,SI2,69.6,62.0,6.88,6.79,4.76,7560
2705,1.01,Good,G,VS2,64.0,59.0,6.27,6.33,4.03,6109
11769,0.53,Ideal,F,VS1,62.3,55.0,5.18,5.22,3.24,1812
16187,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,11220
13281,0.3,Good,F,IF,64.3,53.0,4.22,4.27,2.73,780
21183,0.51,Premium,E,SI2,60.3,56.0,5.22,5.19,3.14,1205
4788,0.3,Ideal,E,VVS2,61.4,57.0,4.34,4.32,2.66,1013
25523,0.52,Premium,E,VS2,62.3,57.0,5.17,5.1,3.2,1815
26013,0.31,Ideal,D,VS2,61.2,55.0,4.37,4.42,2.69,734
377,0.32,Ideal,I,VS1,62.4,54.0,4.38,4.4,2.74,523
644,0.5,Ideal,D,SI1,60.9,57.0,5.18,5.14,3.14,1654
4409,0.3,Ideal,E,VVS1,60.1,57.0,4.41,4.38,2.64,956
11640,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,492
18172,1.16,Ideal,H,SI1,62.2,54.0,6.72,6.75,4.19,6036
23748,1.93,Premium,H,VS1,60.5,60.0,8.06,7.98,4.85,17096
9949,0.38,Premium,D,VS1,58.2,58.0,4.81,4.77,2.79,1064
14159,1.52,Ideal,G,SI1,60.3,57.0,7.58,7.48,4.54,11028
8249,0.34,Premium,F,VS2,61.2,59.0,4.49,4.53,2.76,686
4242,0.7,Premium,G,VS1,61.4,59.0,5.74,5.59,3.51,2535
11073,0.27,Ideal,F,IF,61.4,57.0,4.17,4.19,2.57,760
25975,1.66,Very Good,H,SI1,62.8,56.0,7.53,7.57,4.74,10134
12736,1.54,Ideal,I,VS2,61.9,55.8,7.38,7.43,4.58,9998
6749,0.72,Ideal,D,SI1,61.5,54.0,5.77,5.8,3.56,2804
17378,1.53,Ideal,F,SI1,61.5,56.0,7.38,7.42,4.56,12616
20339,0.31,Ideal,E,VVS2,59.9,62.0,4.4,4.41,2.64,755
5982,0.92,Ideal,J,SI1,62.3,56.0,6.24,6.29,3.9,3170
2006,0.31,Ideal,G,IF,61.9,55.0,4.35,4.38,2.7,891
21932,0.32,Ideal,D,VVS1,61.9,56.0,4.39,4.36,2.71,1140
20660,0.4,Very Good,E,VS2,61.2,60.0,4.79,4.68,2.9,912
7405,1.03,Good,D,SI2,57.2,59.0,6.66,6.63,3.8,3743
14242,0.31,Premium,H,VVS1,60.5,58.0,4.4,4.43,2.67,707
19740,0.42,Premium,G,VS1,60.6,58.0,4.95,4.82,2.96,984
4096,0.7,Premium,F,VS2,63.0,61.0,5.64,5.59,3.54,2648
20084,0.6,Very Good,E,VS2,62.9,59.0,5.34,5.38,3.37,2085
25918,0.49,Fair,D,VS2,57.5,68.0,5.18,5.11,2.96,1249
15313,1.7,Very Good,J,SI1,61.9,59.0,7.59,7.64,4.71,8870
7617,0.91,Very Good,E,SI2,63.8,60.0,6.05,6.09,3.87,3751
15648,0.92,Ideal,D,SI2,61.9,55.0,6.24,6.27,3.87,5051
24862,0.41,Premium,E,VS1,62.8,58.0,4.72,4.7,2.96,1153
8475,0.72,Ideal,F,VS2,62.0,56.0,5.77,5.75,3.57,2943
10564,0.3,Good,H,VS1,63.9,55.0,4.28,4.26,2.73,675
9519,0.71,Ideal,I,SI1,61.7,55.0,5.74,5.77,3.55,2255
5560,0.71,Ideal,I,VVS2,61.4,58.0,5.7,5.76,3.52,2559
3927,0.82,Premium,E,SI2,62.0,59.0,6.02,5.94,3.71,2593
8094,0.55,Ideal,E,SI1,60.6,56.0,5.3,5.33,3.22,1551
19008,0.78,Ideal,H,SI2,,54.0,5.89,5.85,3.63,2012
24236,0.71,Very Good,I,VVS2,63.1,58.0,5.71,5.64,3.58,2450
2119,1.59,Ideal,H,VS1,61.8,56.0,7.49,7.53,4.64,14031
3669,0.52,Ideal,D,VS2,62.1,57.0,5.13,5.17,3.2,1774
24909,1.02,Very Good,F,VS1,61.9,59.0,6.38,6.44,3.97,7257
19192,1.5,Very Good,E,SI1,60.4,59.0,7.35,7.39,4.45,12000
12977,1.01,Ideal,E,VS2,61.4,57.0,6.44,6.5,3.97,6956
11095,2.03,Ideal,H,SI2,61.9,57.0,8.14,8.1,5.03,11379
11858,1.21,Ideal,H,VS1,62.7,56.0,6.79,6.84,4.27,6784
1959,0.3,Ideal,I,VS1,61.6,56.0,4.36,4.31,2.67,608
21344,0.46,Good,F,VS1,59.9,61.9,5.02,5.06,3.01,1168
26385,0.5,Ideal,E,VS1,61.1,58.0,5.12,5.08,3.11,2034
11443,1.5,Very Good,H,VVS2,62.9,59.0,7.26,7.31,4.58,11748
19014,2.51,Ideal,I,SI2,58.4,62.0,8.87,8.79,5.15,18037
15605,1.01,Premium,E,VS1,62.0,59.0,6.42,6.38,3.97,7964
693,0.71,Good,D,SI1,63.1,56.0,5.68,5.73,3.6,2719
9138,1.65,Ideal,G,IF,62.4,55.0,7.53,7.61,4.72,17569
11982,0.9,Very Good,D,VS1,60.3,58.0,6.23,6.28,3.77,5331
20710,0.36,Premium,D,VS2,59.1,58.0,4.63,4.68,2.75,852
5902,0.38,Good,E,VS2,,57.0,4.59,4.62,2.91,693
19260,0.3,Ideal,H,VVS1,62.2,55.0,4.3,4.32,2.68,665
15910,0.52,Very Good,H,VS1,62.2,55.0,5.15,5.18,3.21,1659
1989,0.43,Ideal,G,VS1,61.2,57.0,4.88,4.83,2.97,941
9067,1.01,Ideal,J,SI2,61.9,55.0,6.5,6.43,4.01,4174
4462,0.7,Ideal,G,VVS1,60.7,57.0,5.73,5.76,3.49,3303
24636,1.5,Good,F,SI1,63.4,58.0,7.16,7.2,4.55,10766
12553,0.34,Ideal,G,IF,61.9,55.0,4.51,4.54,2.8,974
5243,2.11,Ideal,I,VS1,61.9,57.0,8.28,8.22,5.11,16723
7159,0.77,Ideal,G,VS2,61.8,54.0,5.91,5.94,3.66,3300
18713,1.23,Very Good,G,SI1,63.1,56.0,6.81,6.78,4.29,6665
2927,0.33,Premium,G,VVS2,,59.0,4.46,4.41,2.75,965
9952,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,4478
7284,0.5,Ideal,F,SI2,60.9,57.0,5.16,5.13,3.13,1203
18528,0.74,Ideal,E,VS2,62.6,56.0,5.73,5.81,3.61,3036
4122,2.04,Premium,G,SI2,62.1,59.0,8.14,8.06,5.03,14900
203,0.72,Ideal,G,SI2,61.5,55.0,5.79,5.82,3.57,2420
8383,2.01,Premium,F,SI2,62.4,58.0,8.08,8.05,5.03,14279
6683,0.55,Ideal,I,VS1,62.2,55.0,5.26,5.29,3.28,1238
6901,0.32,Premium,E,VVS1,60.5,58.0,4.47,4.42,2.69,1020
20116,0.33,Ideal,G,VS1,61.4,55.0,4.44,4.48,2.74,666
19032,1.05,Ideal,G,VS2,61.9,56.0,6.56,6.52,4.05,6604
5294,0.72,Ideal,I,VS2,61.8,55.0,5.75,5.78,3.56,2650
9994,1.25,Very Good,F,VS2,62.5,59.0,6.81,6.89,4.28,9377
15814,0.3,Very Good,I,IF,63.3,56.0,4.26,4.21,2.68,810
9149,0.4,Ideal,E,VS1,61.7,55.0,4.76,4.73,2.93,1125
2846,0.31,Very Good,G,VS2,63.1,56.0,4.37,4.31,2.74,698
11369,0.9,Premium,G,SI1,62.6,62.0,6.08,6.06,3.8,3669
9857,0.7,Very Good,E,VS2,62.4,60.0,5.57,5.61,3.49,2755
7007,1.34,Ideal,G,VS1,62.7,57.0,7.1,7.04,4.43,10070
7415,0.35,Premium,E,VVS1,61.0,58.0,4.52,4.56,2.77,1044
7192,0.51,Ideal,H,IF,62.3,54.0,5.14,5.17,3.21,1879
14793,1.09,Good,H,VVS2,58.8,61.0,6.72,6.78,3.97,6651
6604,0.5,Ideal,D,SI2,61.6,57.0,5.13,5.1,3.15,1332
2315,0.39,Good,E,VS1,57.8,58.0,4.86,4.9,2.82,1082
9443,1.51,Premium,F,SI1,62.3,61.0,7.29,7.22,4.52,10866
15788,0.35,Ideal,G,VS1,61.9,55.0,4.52,4.53,2.8,706
13645,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5000
26468,1.01,Ideal,G,VS2,59.6,59.0,6.52,6.57,3.9,6295
16516,2.17,Premium,G,SI2,62.2,62.0,8.32,8.24,5.15,12321
11692,0.9,Good,G,VS2,63.6,59.0,6.04,6.1,3.86,4093
12731,0.41,Ideal,G,VVS1,61.8,55.0,4.76,4.78,2.95,1151
18873,0.35,Premium,D,VS2,59.7,58.0,4.57,4.61,2.74,829
8092,0.4,Ideal,H,VS2,61.4,57.0,4.72,4.79,2.92,926
18178,1.16,Good,H,SI1,64.0,58.0,6.63,6.56,4.22,5678
19064,0.3,Ideal,I,VVS1,62.1,54.0,4.29,4.31,2.67,540
13390,0.31,Ideal,H,VS2,62.1,55.0,4.34,4.36,2.7,513
24455,0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,2782
12852,0.9,Very Good,E,VVS2,63.7,57.0,6.1,6.12,3.89,6892
17861,0.38,Premium,I,SI1,,58.0,4.67,4.72,2.84,581
23866,0.54,Very Good,F,SI1,63.3,56.0,5.24,5.21,3.31,1389
8086,0.38,Ideal,E,VS1,62.1,57.0,4.65,4.62,2.88,1097
11068,1.83,Premium,H,SI1,60.4,59.0,7.89,7.85,4.75,10162
17025,0.44,Good,F,SI1,63.8,54.0,4.8,4.85,3.08,756
15462,0.71,Very Good,F,VS2,59.5,58.0,5.82,5.87,3.48,2918
20325,1.05,Ideal,G,VS2,61.8,57.0,6.53,6.48,4.02,6586
23098,1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76,7932
5573,1.24,Very Good,J,SI2,60.4,61.0,6.85,6.92,4.16,4737
24793,0.76,Ideal,H,SI1,61.4,55.0,5.82,5.9,3.6,3050
16055,0.4,Ideal,G,VS1,62.9,55.0,4.76,4.71,2.98,1104
19253,0.34,Ideal,E,SI2,61.3,55.0,4.49,4.52,2.76,454
6076,0.54,Very Good,F,VS1,61.0,58.0,5.24,5.25,3.2,1813
5485,0.4,Premium,E,SI1,61.4,58.0,4.81,4.77,2.94,882
8266,1.0,Premium,E,VS2,61.3,58.0,6.41,6.38,3.92,7168
1079,2.01,Good,H,SI1,63.9,59.0,7.81,7.91,5.02,15467
11593,0.31,Ideal,G,VVS2,61.4,56.0,4.38,4.35,2.68,907
3867,0.95,Ideal,G,IF,59.8,59.0,6.36,6.43,3.82,6951
20085,0.71,Very Good,F,SI1,61.1,57.0,5.71,5.74,3.5,2333
14514,0.44,Ideal,D,SI1,61.6,56.0,4.9,4.93,3.03,838
10544,0.55,Very Good,J,VS2,62.9,54.0,5.23,5.29,3.31,1179
24827,1.03,Very Good,H,SI2,63.1,56.0,6.43,6.38,4.04,3288
20924,0.31,Ideal,E,SI1,61.8,53.9,4.32,4.35,2.68,542
14477,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,14208
59,0.5,Good,E,VS2,64.9,59.0,4.89,4.94,3.19,1389
20055,0.53,Ideal,D,VS2,60.6,57.0,5.28,5.24,3.19,1956
25825,0.5,Premium,I,SI1,61.7,58.0,5.09,5.15,3.16,965
17579,1.3,Very Good,H,SI1,63.4,57.0,6.93,6.88,4.38,6307
26504,1.1,Ideal,I,VS1,62.3,55.0,6.64,6.6,4.12,5864
7803,0.31,Ideal,D,SI1,62.3,56.0,4.32,4.35,2.7,548
14576,1.02,Premium,F,VS1,62.0,59.0,6.41,6.39,3.97,7485
21127,0.5,Ideal,G,VVS2,62.2,56.0,5.02,5.11,3.15,1760
26700,0.32,Very Good,D,VVS1,61.9,54.0,4.42,4.46,2.75,983
21710,0.3,Ideal,D,VS1,61.8,57.0,4.27,4.3,2.65,949
14248,1.5,Very Good,J,VS2,60.5,63.0,7.27,7.32,4.41,7177
15202,0.41,Very Good,G,VS2,60.5,56.0,4.81,4.85,2.92,834
18850,0.36,Ideal,E,VS2,61.2,56.0,4.59,4.63,2.82,789
4867,1.03,Very Good,H,VS2,59.9,59.0,6.5,6.52,3.9,5620
26186,2.01,Premium,H,VS2,60.1,61.0,8.14,8.06,4.87,17068
17915,0.53,Premium,E,VS2,61.6,57.0,5.21,5.18,3.2,1813
9567,0.34,Ideal,D,VS2,60.8,57.0,4.52,4.5,2.74,1033
16679,0.51,Ideal,D,VS2,62.9,56.0,5.1,5.07,3.2,1716
3097,0.31,Ideal,E,VS1,61.3,55.0,4.36,4.38,2.68,692
15513,0.91,Premium,H,SI1,62.2,60.0,6.22,6.16,3.85,3669
13167,0.73,Ideal,I,VS2,60.8,56.0,5.82,5.85,3.55,3438
22163,1.02,Very Good,H,SI2,63.5,58.0,6.34,6.38,4.04,4004
25218,0.31,Ideal,E,VS1,61.2,55.0,4.4,4.43,2.7,722
